1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
2381,9,Set 1; 6:5; 0:15*,5361,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,End: 9-12 game,Ending shot. Backhand,Ending shot. Slice,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Leo Rocca,2nd serve,Ad court (T),Return. Backhand,Brandon Vu,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
2430,5,Set 1; 6:5; 0:30*,5365,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Leo Rocca,2nd serve,Deuce court (Wide),Return. Backhand,Brandon Vu,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
2455,6,Set 1; 6:5; 0:40*,5366,Leo Rocca,Brandon Vu,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Ad court (Body),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
2485,14,Set 1; 6:6; *0:0,5376,Leo Rocca,Brandon Vu,Winner/Provoked Point,Winner,5-8 shots,8,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Passing Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Brandon Vu,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2538,18,Set 1; 6:6; 0:1*,5387,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Aggressive,Ending shot. Short,Leo Rocca,2nd serve,Ad court (T),Return. Backhand,Brandon Vu,Return. Slice,Down the line,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2579,6,Set 1; 6:6; 1:1*,5390,Brandon Vu,Leo Rocca,Winner/Provoked Point,Provoked Point,3-4 shots,3,Non-stress point,Tie-break,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Leo Rocca,1st serve,Deuce court (T),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on return,
2604,7,Set 1; 6:6; *2:1,5395,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Brandon Vu,1st serve,Ad court (Body),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
2628,6,Set 1; 6:6; *2:2,5398,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Tie-break,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Brandon Vu,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
2659,15,Set 1; 6:6; 3:2*,5406,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Leo Rocca,1st serve,Ad court (Body),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2753,8,Set 1; 6:6; 3:3*,5412,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,2nd serve,Deuce court (Body),Return. Backhand,Brandon Vu,Return. Approach Shot,Center,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
2778,8,Set 1; 6:6; *3:4,5417,Leo Rocca,Brandon Vu,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Half court zone,Ending shot. Short,Brandon Vu,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Approach Shot,Down the line,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Lob,,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
2801,14,Set 1; 6:6; *3:5,5426,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Brandon Vu,1st serve,Deuce court (Body),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
2841,7,Set 1; 6:6; 4:5*,5430,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Tie-break,Ending shot. Backhand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Short,Leo Rocca,1st serve,Ad court (T),Return. Backhand,Brandon Vu,Return. Slice,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
2891,5,Set 1; 6:6; 5:5*,5433,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Tie-break,Ending shot. Serve,,,,,Leo Rocca,2nd serve,Deuce court (Wide),,Brandon Vu,,,,,,,,,,Not a Cheap point,
2913,6,Set 1; 6:6; *6:5,5436,Brandon Vu,Leo Rocca,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Tie-break,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Brandon Vu,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Cheap Point on serve,
3131,8,Set 2; 0:0; 0:0*,5445,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Leo Rocca,2nd serve,Deuce court (T),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
3161,5,Set 2; 0:0; 0:15*,5448,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Leo Rocca,1st serve,Ad court (Wide),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
3193,5,Set 2; 0:0; 0:30*,5451,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Leo Rocca,2nd serve,Deuce court (Body),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
3220,5,Set 2; 0:0; 0:40*,5452,Leo Rocca,Brandon Vu,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Ad court (T),,Brandon Vu,,,,,,,,,,Ace/Serve-winner,
3284,5,Set 2; 0:1; *0:0,5454,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Brandon Vu,2nd serve,Deuce court (Wide),,Leo Rocca,,,,,,,,,,Not a Cheap point,
3301,7,Set 2; 0:1; *0:15,5457,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Brandon Vu,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
3321,9,Set 2; 0:1; *0:30,5462,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,Brandon Vu,1st serve,Deuce court (T),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
3338,6,Set 2; 0:1; *15:30,5465,Brandon Vu,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Brandon Vu,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
3367,28,Set 2; 0:1; *30:30,5480,Leo Rocca,Brandon Vu,Winner/Provoked Point,Provoked Point,9+ shots,15,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Half court zone,Ending shot. Middle,Brandon Vu,2nd serve,Deuce court (Body),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
3430,5,Set 2; 0:1; *30:40,5484,Leo Rocca,Brandon Vu,Unforced Error,Unforced Error,1-2 shots,1,Break Point,Beginning: 1-4 game,Ending shot. Serve,,,,,Brandon Vu,2nd serve,Ad court (T),,Leo Rocca,,,,,,,,,,Not a Cheap point,
3458,5,Set 2; 0:2; 0:0*,5485,Leo Rocca,Brandon Vu,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (T),,Brandon Vu,,,,,,,,,,Ace/Serve-winner,
3477,9,Set 2; 0:2; 0:15*,5489,Brandon Vu,Leo Rocca,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Lob,,Ending shot. Neutral Aggressive,Ending shot. Middle,Leo Rocca,1st serve,Ad court (Wide),Return. Forehand,Brandon Vu,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on return,
