1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
4658,5,Set 2; 4:5; 0:0*,5473,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Charlie Coleman,2nd serve,Deuce court (T),,Ethan Zou,,,,,,,,,,Not a Cheap point,
4685,7,Set 2; 4:5; 15:0*,5476,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
4717,6,Set 2; 4:5; 30:0*,5480,Charlie Coleman,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,15:30 and 0:30,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Charlie Coleman,2nd serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
4739,6,Set 2; 4:5; 30:15*,5481,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Provoked Point,1-2 shots,2,15:30 and 0:30,End: 9-12 game,Ending shot. Serve,,,,,Charlie Coleman,1st serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Slice,Cross,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
4771,6,Set 2; 4:5; 30:30*,5485,Charlie Coleman,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,End: 9-12 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Charlie Coleman,2nd serve,Deuce court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
4801,5,Set 2; 4:5; 30:40*,5486,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Charlie Coleman,1st serve,Ad court (T),,Ethan Zou,,,,,,,,,,Ace/Serve-winner,
4876,6,Set 3; *0:0,5489,Ethan Zou,Charlie Coleman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,,,,,,Cheap Point on serve,
4905,16,Set 3; 1:0*,5500,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Charlie Coleman,2nd serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
4959,9,Set 3; 1:1*,5504,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on serve,
4985,6,Set 3; *1:2,5508,Charlie Coleman,Ethan Zou,Winner/Provoked Point,Winner,1-2 shots,2,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Ethan Zou,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on return,
5014,6,Set 3; *1:3,5511,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Break Point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Ethan Zou,2nd serve,Deuce court (T),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Deep,,,,,,Not a Cheap point,
5048,7,Set 3; 2:3*,5514,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Deep,Charlie Coleman,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
5116,5,Set 3; 3:3*,5517,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,Charlie Coleman,2nd serve,Deuce court (Wide),,Ethan Zou,,,,,,,,,,Not a Cheap point,
5143,6,Set 3; *4:3,5520,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside out,Ending shot. Half court zone,Ending shot. Deep,Ethan Zou,2nd serve,Ad court (Body),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Deep,,,,,,Not a Cheap point,
5207,9,Set 3; *5:3,5524,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (Body),Return. Forehand,Charlie Coleman,Return. Slice,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
5237,7,Set 3; 6:3*,5529,Ethan Zou,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,2nd serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
5272,6,Set 3; 7:3*,5532,Ethan Zou,Charlie Coleman,Winner/Provoked Point,Winner,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Charlie Coleman,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Deep,,,,,,Cheap Point on return,
5300,6,Set 3; *8:3,5533,Ethan Zou,Charlie Coleman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Slice,Cross,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
5350,7,Set 3; *9:3,5537,Ethan Zou,Charlie Coleman,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Deep,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,Charlie Coleman,Return. Slice,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on serve,
