1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
5832,14,Set 2; 5:3; *0:0,5912,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,5-8 shots,8,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,1st serve,Deuce court (Wide),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
5869,10,Set 2; 5:3; *0:15,5917,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Provoked Point,5-8 shots,5,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Defensive,Ending shot. Deep,Kael Shalin Shah,1st serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
5895,11,Set 2; 5:3; *0:30,5924,Kael Shalin Shah,Drew Goldman,Winner/Provoked Point,Provoked Point,5-8 shots,6,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Kael Shalin Shah,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
5955,11,Set 2; 5:3; *15:30,5933,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,5-8 shots,6,15:30 and 0:30,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,2nd serve,Ad court (Body),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
5985,11,Set 2; 5:3; *15:40,5939,Kael Shalin Shah,Drew Goldman,Winner/Provoked Point,Winner,5-8 shots,5,Break Point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Kael Shalin Shah,1st serve,Deuce court (Wide),Return. Forehand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Volley,,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
6020,9,Set 2; 5:3; *30:40,5945,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Provoked Point,5-8 shots,5,Break Point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Kael Shalin Shah,2nd serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Approach Shot,Down the line,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Cheap Point on return,
6127,5,Set 2; 5:4; 0:0*,5948,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Deuce court (Wide),,Kael Shalin Shah,,,,,,,,,,Ace/Serve-winner,
6156,7,Set 2; 5:4; 0:15*,5949,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Ad court (Wide),Return. Backhand,Kael Shalin Shah,Return. Passing Shot,Center,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
6185,16,Set 2; 5:4; 0:30*,5958,Drew Goldman,Kael Shalin Shah,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Body),Return. Backhand,Kael Shalin Shah,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
6229,9,Set 2; 5:4; 0:40*,5964,Drew Goldman,Kael Shalin Shah,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Drew Goldman,1st serve,Ad court (T),Return. Forehand,Kael Shalin Shah,Return. Passing Shot,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Cheap Point on serve,
