1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
2259,19,Set 2; 0:0; *0:0,5307,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,9+ shots,12,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Deep,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Sam Saeed,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2292,7,Set 2; 0:0; *15:0,5310,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (Body),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
2307,8,Set 2; 0:0; *30:0,5313,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,1st serve,Deuce court (Wide),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Short,Not a Cheap point,
2338,7,Set 2; 0:0; *30:15,5316,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside out,Ending shot. Defensive,Ending shot. Short,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
2390,12,Set 2; 0:0; *40:15,5323,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Leo Rocca,2nd serve,Deuce court (Body),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
2467,14,Set 2; 1:0; 0:0*,5331,Sam Saeed,Leo Rocca,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2503,7,Set 2; 1:0; 0:15*,5334,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,1st serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
2525,6,Set 2; 1:0; 0:30*,5336,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
2542,13,Set 2; 1:0; 0:40*,5342,Leo Rocca,Sam Saeed,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Sam Saeed,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
2592,9,Set 2; 1:0; 15:40*,5348,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam Saeed,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
2632,7,Set 2; 1:1; *0:0,5350,Leo Rocca,Sam Saeed,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
2655,8,Set 2; 1:1; *15:0,5354,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Leo Rocca,1st serve,Ad court (Wide),Return. Backhand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
2685,5,Set 2; 1:1; *15:15,5356,Leo Rocca,Sam Saeed,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Sam Saeed,Return. Slice,Center,Return. Neutral defensive,Return. Short,,,,,,Cheap Point on serve,
2726,13,Set 2; 1:1; *30:15,5365,Leo Rocca,Sam Saeed,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Middle,Leo Rocca,2nd serve,Ad court (Body),Return. Backhand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Center,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
2763,14,Set 2; 1:1; *40:15,5373,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,1st serve,Deuce court (Wide),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
2798,15,Set 2; 1:1; *40:30,5382,Leo Rocca,Sam Saeed,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Sam Saeed,Return. Slice,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2898,5,Set 2; 2:1; 0:0*,5385,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam Saeed,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
2913,10,Set 2; 2:1; 0:15*,5389,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam Saeed,1st serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
2934,15,Set 2; 2:1; 0:30*,5397,Sam Saeed,Leo Rocca,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Sam Saeed,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
2967,9,Set 2; 2:1; 0:40*,5402,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Sam Saeed,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
3008,13,Set 2; 2:2; *0:0,5410,Sam Saeed,Leo Rocca,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Net Area,Ending shot. Deep,Leo Rocca,2nd serve,Deuce court (Wide),Return. Forehand,Sam Saeed,Return. Slice,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Cheap Point on return,
3046,10,Set 2; 2:2; *0:15,5416,Sam Saeed,Leo Rocca,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Sam Saeed,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
