1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
2023,6,Set 2; 0:0; 0:0*,5318,Leo Rocca,Ethan Zou,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Leo Rocca,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Slice,Down the line,Return. Neutral defensive,Return. Short,,,,,,Cheap Point on serve,
2042,7,Set 2; 0:0; 0:15*,5321,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Short,Leo Rocca,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
2079,6,Set 2; 0:0; 0:30*,5323,Ethan Zou,Leo Rocca,Winner/Provoked Point,Winner,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Deep,,,,,,Cheap Point on return,
2107,13,Set 2; 0:0; 15:30*,5329,Ethan Zou,Leo Rocca,Winner/Provoked Point,Provoked Point,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Deep,Leo Rocca,1st serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2144,10,Set 2; 0:0; 30:30*,5335,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,4,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
2185,6,Set 2; 0:0; 30:40*,5339,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Defensive,Ending shot. Short,Leo Rocca,2nd serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
2252,9,Set 2; 0:1; *0:0,5343,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,Ethan Zou,1st serve,Deuce court (Body),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2276,10,Set 2; 0:1; *15:0,5348,Leo Rocca,Ethan Zou,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Ethan Zou,1st serve,Ad court (T),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
2310,8,Set 2; 0:1; *15:15,5353,Ethan Zou,Leo Rocca,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Ethan Zou,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Half court zone,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on serve,
2347,5,Set 2; 0:1; *30:15,5356,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,2nd serve,Ad court (T),,Leo Rocca,,,,,,,,,,Not a Cheap point,
