1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1604,5,Set 1; 4:3; 15:15*,5266,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Blake Bothmer,2nd serve,Deuce court (T),,Tanner Ige,,,,,,,,,,Not a Cheap point,
1635,11,Set 1; 4:3; 30:15*,5271,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,5-8 shots,5,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Short,Blake Bothmer,1st serve,Ad court (Wide),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
1675,5,Set 1; 4:3; 40:15*,5274,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,1-2 shots,1,Break Point,Middle: 5-8 game,Ending shot. Serve,,,,,Blake Bothmer,2nd serve,Deuce court (T),,Tanner Ige,,,,,,,,,,Not a Cheap point,
1699,17,Set 1; 5:3; *0:0,5284,Blake Bothmer,Tanner Ige,Winner/Provoked Point,Winner,9+ shots,10,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Tanner Ige,1st serve,Deuce court (Wide),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1749,29,Set 1; 5:3; *0:15,5304,Blake Bothmer,Tanner Ige,Winner/Provoked Point,Winner,9+ shots,18,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Deep,Tanner Ige,2nd serve,Ad court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1797,11,Set 1; 5:3; *0:30,5310,Tanner Ige,Blake Bothmer,Winner/Provoked Point,Winner,5-8 shots,5,15:30 and 0:30,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Tanner Ige,1st serve,Deuce court (Wide),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
1823,17,Set 1; 5:3; *15:30,5320,Tanner Ige,Blake Bothmer,Winner/Provoked Point,Provoked Point,9+ shots,10,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Tanner Ige,1st serve,Ad court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1874,7,Set 1; 5:3; *30:30,5325,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Tanner Ige,2nd serve,Deuce court (Body),Return. Forehand,Blake Bothmer,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
1896,9,Set 1; 5:3; *40:30,5328,Tanner Ige,Blake Bothmer,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Tanner Ige,1st serve,Ad court (Body),Return. Backhand,Blake Bothmer,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on serve,
1974,8,Set 2; 0:0; 0:0*,5335,Tanner Ige,Blake Bothmer,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Short,Blake Bothmer,1st serve,Deuce court (T),Return. Backhand,Tanner Ige,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
