1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1397,7,Set 1; 2:4; *40:15,5209,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Drop Shot,,Ending shot. Half court zone,Ending shot. Short,Jay Mallampati,1st serve,Deuce court (Wide),Return. Backhand,Jack Scott,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Drop Shot,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
1432,16,Set 1; 2:4; *40:30,5220,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Jay Mallampati,2nd serve,Ad court (Body),Return. Forehand,Jack Scott,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
1469,6,Set 1; 2:4; *40:40,5222,Jay Mallampati,Jack Scott,Winner/Provoked Point,Provoked Point,1-2 shots,2,30:30 and 40:40,Middle: 5-8 game,Ending shot. Serve,,,,,Jay Mallampati,1st serve,Ad court (Wide),Return. Forehand,Jack Scott,Return. Slice,Down the line,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
1614,9,Set 1; 3:4; 0:0*,5226,Jack Scott,Jay Mallampati,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Jack Scott,1st serve,Deuce court (T),Return. Backhand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Cheap Point on serve,
1639,6,Set 1; 3:4; 0:15*,5229,Jack Scott,Jay Mallampati,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Jack Scott,1st serve,Ad court (Wide),Return. Backhand,Jay Mallampati,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
1663,13,Set 1; 3:4; 0:30*,5238,Jack Scott,Jay Mallampati,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Defensive,Ending shot. Middle,Jack Scott,2nd serve,Deuce court (T),Return. Backhand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1700,9,Set 1; 3:4; 0:40*,5241,Jay Mallampati,Jack Scott,Winner/Provoked Point,Provoked Point,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Middle,Jack Scott,1st serve,Ad court (Wide),Return. Backhand,Jay Mallampati,Return. Approach Shot,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Passing Shot,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Cheap Point on return,
1756,6,Set 1; 3:4; 15:40*,5246,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Jack Scott,2nd serve,Deuce court (Body),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,,,,,,Not a Cheap point,
1796,13,Set 1; 3:5; *0:0,5253,Jay Mallampati,Jack Scott,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,Jay Mallampati,2nd serve,Deuce court (Body),Return. Backhand,Jack Scott,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
1828,9,Set 1; 3:5; *15:0,5258,Jack Scott,Jay Mallampati,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Passing Shot,Cross,Ending shot. Defensive,Ending shot. Middle,Jay Mallampati,1st serve,Ad court (Wide),Return. Forehand,Jack Scott,Return. Slice,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on return,
1856,6,Set 1; 3:5; *15:15,5260,Jay Mallampati,Jack Scott,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Serve,,,,,Jay Mallampati,1st serve,Deuce court (Wide),Return. Backhand,Jack Scott,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
1885,15,Set 1; 3:5; *30:15,5270,Jay Mallampati,Jack Scott,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Jay Mallampati,2nd serve,Ad court (Wide),Return. Forehand,Jack Scott,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
1920,12,Set 1; 3:5; *40:15,5277,Jay Mallampati,Jack Scott,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Jay Mallampati,1st serve,Deuce court (T),Return. Forehand,Jack Scott,Return. Slice,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
2032,45,Set 1; 4:5; 0:0*,5305,Jack Scott,Jay Mallampati,Winner/Provoked Point,Winner,9+ shots,27,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Jack Scott,1st serve,Deuce court (Body),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2112,6,Set 1; 4:5; 0:15*,5307,Jack Scott,Jay Mallampati,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Serve,,,,,Jack Scott,1st serve,Ad court (Wide),Return. Backhand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Half court zone,Return. Deep,,,,,,Cheap Point on serve,
2138,10,Set 1; 4:5; 0:30*,5313,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,End: 9-12 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Short,Jack Scott,2nd serve,Deuce court (Body),Return. Forehand,Jay Mallampati,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
2174,6,Set 1; 4:5; 0:40*,5316,Jack Scott,Jay Mallampati,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,End: 9-12 game,Ending shot. Return,Ending shot. Slice,Inside center,Ending shot. Neutral Aggressive,Ending shot. Deep,Jack Scott,1st serve,Ad court (Body),Return. Forehand,Jay Mallampati,Return. Slice,Center,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
2316,5,Set 2; 0:0; *0:0,5319,Jay Mallampati,Jack Scott,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Jay Mallampati,1st serve,Deuce court (T),,Jack Scott,,,,,,,,,,Ace/Serve-winner,
