1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
548,6,Set 1; 1:0; 40:30*,5064,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,3-4 shots,3,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Luke Feng,2nd serve,Ad court (T),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Not a Cheap point,
588,5,Set 1; 2:0; *0:0,5067,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ben Lammert,2nd serve,Deuce court (Wide),,Luke Feng,,,,,,,,,,Not a Cheap point,
607,8,Set 1; 2:0; *0:15,5070,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Short,Ben Lammert,1st serve,Ad court (Body),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
625,17,Set 1; 2:0; *0:30,5080,Ben Lammert,Luke Feng,Winner/Provoked Point,Provoked Point,9+ shots,10,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Middle,Ben Lammert,1st serve,Deuce court (T),Return. Forehand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
656,14,Set 1; 2:0; *15:30,5089,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,5-8 shots,7,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ben Lammert,1st serve,Ad court (Body),Return. Backhand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
686,12,Set 1; 2:0; *15:40,5096,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,5-8 shots,6,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Ben Lammert,1st serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
728,9,Set 1; 2:0; *30:40,5102,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,3-4 shots,4,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Ben Lammert,2nd serve,Ad court (Body),Return. Forehand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
754,10,Set 1; 2:0; *40:40,5108,Ben Lammert,Luke Feng,Winner/Provoked Point,Winner,5-8 shots,5,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Ben Lammert,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Slice,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on serve,
862,10,Set 1; 3:0; 0:0*,5113,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Luke Feng,1st serve,Deuce court (Body),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
888,7,Set 1; 3:0; 0:15*,5117,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Down the line,Ending shot. Half court zone,Ending shot. Short,Luke Feng,1st serve,Ad court (Body),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
909,6,Set 1; 3:0; 15:15*,5120,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Luke Feng,1st serve,Deuce court (Wide),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
927,6,Set 1; 3:0; 15:30*,5122,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Luke Feng,1st serve,Ad court (Body),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
952,9,Set 1; 3:0; 15:40*,5126,Ben Lammert,Luke Feng,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Luke Feng,1st serve,Deuce court (Body),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on return,
980,7,Set 1; 3:0; 30:40*,5130,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Half court zone,Ending shot. Deep,Luke Feng,1st serve,Ad court (T),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1005,6,Set 1; 3:0; 40:40*,5133,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Short,Luke Feng,1st serve,Ad court (Wide),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
1050,5,Set 1; 3:1; *0:0,5135,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ben Lammert,2nd serve,Deuce court (T),,Luke Feng,,,,,,,,,,Not a Cheap point,
1088,13,Set 1; 3:1; *0:15,5142,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Middle,Ben Lammert,2nd serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
1123,12,Set 1; 3:1; *15:15,5149,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Center,Ending shot. Neutral Defensive,Ending shot. Short,Ben Lammert,1st serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
1149,6,Set 1; 3:1; *30:15,5152,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Ben Lammert,1st serve,Ad court (Body),Return. Backhand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
1161,12,Set 1; 3:1; *40:15,5159,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Inside in,Ending shot. Half court zone,Ending shot. Short,Ben Lammert,1st serve,Deuce court (Body),Return. Forehand,Luke Feng,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
1184,18,Set 1; 3:1; *40:30,5170,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,9+ shots,10,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Defensive,Ending shot. Deep,Ben Lammert,1st serve,Ad court (Body),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
1340,6,Set 1; 4:1; 0:0*,5173,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Middle: 5-8 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Luke Feng,1st serve,Deuce court (Wide),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
1361,7,Set 1; 4:1; 0:15*,5176,Luke Feng,Ben Lammert,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Luke Feng,1st serve,Ad court (Wide),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Cheap Point on serve,
1379,15,Set 1; 4:1; 0:30*,5186,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Lob,,Ending shot. Neutral Aggressive,Ending shot. Deep,Luke Feng,1st serve,Deuce court (T),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
